"id","name","code","user_type_id/id","chart_template_id/id","reconcile"
"1_pcg_317000","Autres","317000","account.data_account_type_current_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_321000","Matières consommables","321000","account.data_account_type_current_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_322000","Fournitures consommables","322000","account.data_account_type_current_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_326000","Emballages","326000","account.data_account_type_current_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_327000","Autres","327000","account.data_account_type_current_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_331000","Produits en cours","331000","account.data_account_type_current_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_335000","Travaux en cours","335000","account.data_account_type_current_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_341000","Études en cours","341000","account.data_account_type_current_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_345000","Prestations de services en cours","345000","account.data_account_type_current_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_351000","Produits intermédiaires","351000","account.data_account_type_current_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_355000","Produits finis","355000","account.data_account_type_current_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_357000","Produits résiduels","357000","account.data_account_type_current_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_370000","Stocks de marchandises","370000","account.data_account_type_current_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_390000","Provisions pour dépréciation des stocks (a ventiler selon la nomenclature de cette classe)","390000","account.data_account_type_depreciation","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_401100","Fournisseurs - achats de biens ou de prestations de services","401100","account.data_account_type_payable","l10n_tn.l10n_tn_pcg_chart_template","True"
"1_pcg_402000","Fournisseurs étrangers","402000","account.data_account_type_payable","l10n_tn.l10n_tn_pcg_chart_template","True"
